Tiempo (s) Serie Nº 1	Posición (m) Serie Nº 1
0.020	0.223
0.040	0.223
0.060	0.223
0.080	0.223
0.100	0.223
0.120	0.223
0.140	0.223
0.160	0.223
0.180	0.223
0.200	0.223
0.220	0.223
0.240	0.223
0.260	0.223
0.280	0.223
0.300	0.223
0.320	0.223
0.340	0.223
0.360	0.223
0.380	0.223
0.400	0.223
0.420	0.223
0.440	0.223
0.460	0.222
0.480	0.222
0.500	0.222
0.520	0.222
0.540	0.222
0.560	0.222
0.580	0.222
0.600	0.222
0.620	0.222
0.640	0.222
0.660	0.222
0.680	0.222
0.700	0.222
0.720	0.222
0.740	0.222
0.760	0.222
0.780	0.222
0.800	0.222
0.820	0.222
0.840	0.222
0.860	0.222
0.880	0.222
0.900	0.222
0.920	0.224
0.940	0.226
0.960	0.228
0.980	0.232
1.000	0.236
1.020	0.241
1.040	0.246
1.060	0.252
1.080	0.259
1.100	0.267
1.120	0.275
1.140	0.284
1.160	0.294
1.180	0.304
1.200	0.315
1.220	0.327
1.240	0.339
1.260	0.351
1.280	0.365
1.300	0.379
1.320	0.394
1.340	0.410
1.360	0.427
1.380	0.444
1.400	0.463
1.420	0.482
1.440	0.501
1.460	0.521
1.480	0.542
1.500	0.564
1.520	0.586
1.540	0.609
1.560	0.633
1.580	0.657
1.600	0.682
1.620	0.708
1.640	0.734
1.660	0.761
1.680	0.789
1.700	0.818
1.720	0.847
1.740	0.876
1.760	0.907
1.780	0.939
1.800	0.967
1.820	0.973
1.840	0.978
1.860	0.981
1.880	0.974
1.900	0.973
1.920	0.968
1.940	0.964
1.960	0.958
1.980	0.954
2.000	0.951
