Tiempo (s) Serie Nº 1	Posición (m) Serie Nº 1
0.020	0.218
0.040	0.218
0.060	0.218
0.080	0.218
0.100	0.218
0.120	0.218
0.140	0.218
0.160	0.218
0.180	0.218
0.200	0.218
0.220	0.218
0.240	0.218
0.260	0.218
0.280	0.218
0.300	0.218
0.320	0.218
0.340	0.218
0.360	0.218
0.380	0.218
0.400	0.217
0.420	0.217
0.440	0.217
0.460	0.217
0.480	0.218
0.500	0.217
0.520	0.217
0.540	0.217
0.560	0.218
0.580	0.217
0.600	0.218
0.620	0.218
0.640	0.218
0.660	0.217
0.680	0.217
0.700	0.217
0.720	0.217
0.740	0.217
0.760	0.217
0.780	0.217
0.800	0.218
0.820	0.219
0.840	0.220
0.860	0.223
0.880	0.226
0.900	0.230
0.920	0.234
0.940	0.239
0.960	0.245
0.980	0.252
1.000	0.260
1.020	0.267
1.040	0.276
1.060	0.286
1.080	0.296
1.100	0.306
1.120	0.318
1.140	0.329
1.160	0.342
1.180	0.355
1.200	0.370
1.220	0.385
1.240	0.401
1.260	0.417
1.280	0.435
1.300	0.453
1.320	0.471
1.340	0.491
1.360	0.511
1.380	0.531
1.400	0.553
1.420	0.575
1.440	0.598
1.460	0.621
1.480	0.645
1.500	0.670
1.520	0.695
1.540	0.722
1.560	0.749
1.580	0.776
1.600	0.805
1.620	0.834
1.640	0.863
1.660	0.894
1.680	0.925
1.700	0.954
1.720	0.963
1.740	0.971
1.760	0.971
1.780	0.971
1.800	0.972
1.820	0.968
1.840	0.967
1.860	0.964
1.880	0.963
1.900	0.961
1.920	0.959
1.940	0.957
1.960	0.955
1.980	0.954
2.000	0.953
